B.ja-jp content.tsv
Level	Esperanto	ja-jp	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	こんにちは	hello!	grupo	alternativoj	prononco
level	mi estas ~	私は〜です	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	あなたは誰ですか？	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	私の名前は〜です	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	嬉しいです	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	私も嬉しいです	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	頻繁に来ます	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	この踊り場へ	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	あなたはこの踊りの場所に頻繁に来ますか？	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	いいえ、あなたは？	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	私も	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~は興味深い名前です	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	そうですか？	is it?	grupo	alternativoj	prononco
level	ĉu ne?	そうではありませんか？	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	どうやって？	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~に関係がある	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	エスペラントと関係があります	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	なんですか？	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	私はよく聞くことができませんでした	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	〜はとても騒々しい	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	その音楽はとても騒々しいです。	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	私は〜と言いました	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	私はあなたの名前がエスペラントと関係があると言いました	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	本当に？	really?	grupo	alternativoj	prononco
level	novaĵo por mi	私のためのニュース（私にとっては新しいニュース）	a news for me	grupo	alternativoj	prononco
