2023-10-09 15:46:05	/api/login.api	a@a.com	a@a.com	ko-kr
2023-10-09 15:46:05	/api/get_course_info.api	a@a.com	ko-kr
2023-10-09 15:46:07	/api/get_course_info.api	a@a.com	ko-kr
2023-10-09 15:46:09	/api/session-start.api	a@a.com	ko-kr	A
2023-10-09 15:46:09	/api/card-next.api	a@a.com	A	ko-kr	mi, vi	0	./quizC.html	female1
2023-10-09 15:46:09	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:46:13	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:50:07	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:50:27	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:51:02	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:55:38	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:55:50	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:55:56	/api/put-score-kor.api	a@a.com	A	ko-kr	나의 이름, 당신의 이름	-1
2023-10-09 15:55:58	/api/put-score-kor.api	a@a.com	A	ko-kr	당신에게, 나에게	-1
2023-10-09 15:56:00	/api/put-score-kor.api	a@a.com	A	ko-kr	나의, 당신의	-1
2023-10-09 15:56:02	/api/put-score-kor.api	a@a.com	A	ko-kr	나, 당신	1
2023-10-09 15:56:02	/api/playsound.api	a@a.com	ludoviko/mi, vi.mp3
2023-10-09 15:56:19	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:58:42	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:58:47	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 15:58:51	/api/put-score-kor.api	a@a.com	A	ko-kr	나의, 당신의	-1
2023-10-09 15:59:00	/api/put-score-kor.api	a@a.com	A	ko-kr	당신에게, 나에게	-1
2023-10-09 15:59:01	/api/put-score-kor.api	a@a.com	A	ko-kr	나의 이름, 당신의 이름	-1
2023-10-09 15:59:03	/api/put-score-kor.api	a@a.com	A	ko-kr	나, 당신	1
2023-10-09 15:59:03	/api/playsound.api	a@a.com	male2/mi, vi.mp3
2023-10-09 16:00:57	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 16:01:17	/api/similar-words-kor.api	a@a.com	A	ko-kr	나, 당신
2023-10-09 16:12:37	/api/playsound.api	a@a.com	female1/mi, vi.mp3
2023-10-09 16:18:20	/api/playsound.api	a@a.com	female1/mi, vi.mp3
2023-10-09 16:30:19	/api/playsound.api	a@a.com	female1/mi, vi.mp3
2023-10-09 16:30:26	/api/card-next.api	a@a.com	A	ko-kr	estas, estis	0	./quizG.html	male2
2023-10-09 16:30:26	/api/playsound.api	a@a.com	male1/mi, vi.mp3
2023-10-09 16:30:27	/api/similar-words.api	a@a.com	A	ko-kr	estas, estis
